"Company","Symbol","Sector"
"Covestro","1COV.DE","Basic Materials"
"Adidas","ADS.DE","Textile"
"Airbus","AIR.DE","Aerospace"
"Allianz","ALV.DE","Financial Services"
"BASF","BAS.DE","Basic Materials"
"Bayer","BAYN.DE","Healthcare"
"Beiersdorf","BEI.DE","Consumer goods"
"BMW","BMW.DE","Automobile"
"Brenntag","BNR.DE","Distribution"
"Continental","CON.DE","Automotive"
"Deutsche B̦rse","DB1.DE","Financial Services"
"Deutsche Bank","DBK.DE","Financial Services"
"Deutsche Post","DPW.DE","Industrials"
"Deutsche Telekom","DTE.DE","Communication Services"
"Daimler Truck","DTG.DE","Automobile"
"Siemens Energy","ENR.DE","Energy technology"
"E.ON","EOAN.DE","Utilities"
"Fresenius Medical Care","FME.DE","Healthcare"
"Fresenius","FRE.DE","Healthcare"
"HeidelbergCement","HEI.DE","Basic Materials"
"Henkel","HEN3.DE","Consumer Goods"
"Hannover Re","HNR1.DE","Insurance"
"Infineon Technologies","IFX.DE","Technology"
"Linde","LIN.DE","Basic Materials"
"Mercedes-Benz Group","MBG.DE","Automobile"
"Merck","MRK.DE","Healthcare"
"MTU Aero Engines","MTX.DE","Industrials"
"Munich Re","MUV2.DE","Financial Services"
"Porsche","PAH3.DE","Automobile"
"Puma","PUM.DE","Textile"
"Qiagen","QIA.DE","Chemicals"
"RWE","RWE.DE","Utilities"
"SAP","SAP.DE","Technology"
"Siemens Healthineers","SHL.DE","Healthcare"
"Siemens","SIE.DE","Industrials"
"Sartorius","SRT3.DE","Chemicals"
"Symrise","SY1.DE","Chemicals"
"Vonovia","VNA.DE","Real Estate"
"Volkswagen Group","VOW3.DE","Automobile"
"Zalando","ZAL.DE","E-Commerce"
